Pair	BaseImbalanceLevel	Submethod	Method	Accuracy	Returns
ETH_USDT	10	oracle	oracle	52.23860306622485	5.3671257479759005
ETH_USDT	10	poisson_15	poisson	51.957500775491326	4.989814211158708
ETH_USDT	10	movingaverage_30	movingaverage	51.74280407368934	4.576451682732729
ETH_USDT	10	movingaverage_240	movingaverage	51.73572922356793	4.289806067524132
ETH_USDT	10	poisson_5	poisson	51.539323848366	3.464600645793458
ETH_USDT	10	movingaverage_60	movingaverage	51.49685334996599	4.614376918014877
ETH_USDT	10	movingaverage_180	movingaverage	51.363436123604394	5.954039816499942
ETH_USDT	10	movingaverage_120	movingaverage	51.241606997640865	6.674542450019547
ETH_USDT	10	hawkes_10	hawkes	51.178515422179565	3.540347195571905
ETH_USDT	10	hawkes_5	hawkes	51.16571771051487	2.1567729155471764
ETH_USDT	10	poisson_20	poisson	51.033382501000176	2.985105052760022
ETH_USDT	10	hawkes_15	hawkes	50.92699674084467	1.5386740916115524
ETH_USDT	10	naive	naive	50.78082197608695	4.15455001395068
ETH_USDT	10	poisson_10	poisson	50.77928185115206	2.896268469124053
ETH_USDT	10	hawkes_20	hawkes	50.608228532228395	2.503961127037236
ETH_USD	15	oracle	oracle	52.16967195649581	3.9217862440272135
ETH_USD	15	hawkes_10	hawkes	50.48978499361625	1.6643497649106678
ETH_USD	15	hawkes_20	hawkes	50.36186944836367	1.0599655760252409
ETH_USD	15	hawkes_5	hawkes	50.146622265986714	0.7450164025204464
ETH_USD	15	poisson_10	poisson	50.05338543581499	-0.5022542278023605
ETH_USD	15	poisson_15	poisson	49.99006696082425	0.20027183161668966
ETH_USD	15	hawkes_15	hawkes	49.94360976791342	0.19852727305134651
ETH_USD	15	poisson_20	poisson	49.6972393682978	-2.4835103955397697
ETH_USD	15	naive	naive	49.69377381209989	-0.5008674966520588
ETH_USD	15	poisson_5	poisson	49.5215996703483	-0.09177136467516726
ETH_USD	15	movingaverage_240	movingaverage	49.48604232807035	-1.2700335855077025
ETH_USD	15	movingaverage_180	movingaverage	49.390664564094024	-0.7185951708856289
ETH_USD	15	movingaverage_30	movingaverage	49.29545607224698	0.05047582779101559
ETH_USD	15	movingaverage_120	movingaverage	49.235465939296	-0.6193146869961024
ETH_USD	15	movingaverage_60	movingaverage	48.7108033874588	-1.1459177589956269
ETH_BTC	10	oracle	oracle	51.92846056559456	3.3601997792524054
ETH_BTC	10	poisson_15	poisson	51.286135179192954	0.7960972942767554
ETH_BTC	10	movingaverage_60	movingaverage	51.127138899172124	1.0351073405411038
ETH_BTC	10	movingaverage_180	movingaverage	50.98268679016187	1.8448986859040195
ETH_BTC	10	movingaverage_30	movingaverage	50.775065105371894	-0.14828256056445926
ETH_BTC	10	hawkes_10	hawkes	50.53880570127193	1.1788161538273205
ETH_BTC	10	movingaverage_120	movingaverage	50.3577182397695	0.7824926164428561
ETH_BTC	10	movingaverage_240	movingaverage	50.298171691217625	0.13721974599122955
ETH_BTC	10	hawkes_15	hawkes	50.16592808452899	0.8191433300516042
ETH_BTC	10	naive	naive	50.15570928869374	-1.7825442860671208
ETH_BTC	10	hawkes_5	hawkes	49.90788028340867	0.428814515670889
ETH_BTC	10	poisson_10	poisson	49.90155924097983	-1.0314608400749414
ETH_BTC	10	hawkes_20	hawkes	49.82050421617936	0.894596566336831
ETH_BTC	10	poisson_20	poisson	49.79814933106072	-1.2102934224483193
ETH_BTC	10	poisson_5	poisson	49.500837730733345	-1.056785863631803
BTC_USDT	5	oracle	oracle	51.59532236575941	2.688100775497764
BTC_USDT	5	movingaverage_120	movingaverage	50.8185393528946	0.13245403210671183
BTC_USDT	5	movingaverage_60	movingaverage	50.228757759390376	-0.2282330570802486
BTC_USDT	5	movingaverage_30	movingaverage	50.020617433616046	0.023077796880389977
BTC_USDT	5	hawkes_5	hawkes	49.907943353413046	-0.06952864021408739
BTC_USDT	5	hawkes_20	hawkes	49.83687491576982	0.0347957715658343
BTC_USDT	5	poisson_20	poisson	49.69951599273303	1.122199495206427
BTC_USDT	5	hawkes_15	hawkes	49.619155330704444	-0.39815409650014877
BTC_USDT	5	movingaverage_240	movingaverage	49.596004084491206	-0.3972379766003407
BTC_USDT	5	movingaverage_180	movingaverage	49.49837714149155	0.0737525802682946
BTC_USDT	5	naive	naive	49.48705673129054	0.38352349139613706
BTC_USDT	5	poisson_5	poisson	48.943259581989544	-0.2976486562919217
BTC_USDT	5	hawkes_10	hawkes	48.93384613290188	-0.2735603920575258
BTC_USDT	5	poisson_10	poisson	48.90759474541033	-0.6168492909790111
BTC_USDT	5	poisson_15	poisson	48.89404375768917	0.4139525321493933
BTC_USD	15	oracle	oracle	55.00306640728719	8.407914231106036
BTC_USD	15	hawkes_10	hawkes	51.81876243044044	2.359063296849497
BTC_USD	15	hawkes_15	hawkes	51.7153585349106	1.8203712056684695
BTC_USD	15	movingaverage_180	movingaverage	51.54142644999354	1.5193387200580761
BTC_USD	15	hawkes_5	hawkes	51.130092691464796	2.403054321126189
BTC_USD	15	movingaverage_240	movingaverage	51.042945161158784	0.9324146144248086
BTC_USD	15	movingaverage_30	movingaverage	50.98435609081056	2.2071532960248144
BTC_USD	15	movingaverage_60	movingaverage	50.76463223490373	1.3815038858919804
BTC_USD	15	naive	naive	50.76364937121644	1.2091543056679224
BTC_USD	15	hawkes_20	hawkes	50.752828085064856	1.2581783618174402
BTC_USD	15	movingaverage_120	movingaverage	50.73367303200222	1.734858558882231
